rekaman,kondisi,percobaan,perangkat,berkas,galat_kalibrasi_deg,laju_frame_valid,dropout,saturasi,geopref_persen,geopref_cakupan,isyarat_masuk_target,isyarat_diikuti,sebaran_tengah,dipakai,catatan
a-biasa-1,biasa,1,a,kp-a-biasa-1.json,1.56,1.00,0.00,0.03,0.379,0.95,8/8,8/8,0.281,ya,
a-biasa-2,biasa,1,a,kp-a-biasa-2.json,2.40,1.00,0.00,0.37,0.811,0.54,0/8,0/8,0.227,tidak,pandangan menempel di tepi layar 37%
a-biasa-3,biasa,1,a,kp-a-biasa-3.json,2.53,1.00,0.00,0.11,-,0.33,7/8,6/8,0.345,ya,
a-biasa-4,biasa,1,a,kp-a-biasa-4.json,1.51,1.00,0.00,0.01,0.734,0.96,8/8,8/8,0.332,ya,
a-produksi-1,produksi,1,a,kp-a-produksi-1.json,1.71,1.00,0.00,0.56,0.979,0.87,0/8,0/8,0.042,tidak,pandangan menempel di tepi layar 56%
a-produksi-2,produksi,1,a,kp-a-produksi-2.json,2.56,1.00,0.00,0.18,1.000,0.53,0/8,0/8,0.059,ya,
a-produksi-3,produksi,1,a,kp-a-produksi-3.json,1.78,1.00,0.00,0.43,0.975,0.95,0/8,0/8,0.099,tidak,pandangan menempel di tepi layar 43%
a-produksi-4,produksi,1,a,kp-a-produksi-4.json,2.27,1.00,0.00,0.51,0.996,0.67,0/8,0/8,0.125,tidak,pandangan menempel di tepi layar 51%
b-biasa-1,biasa,1,b,kp-b-biasa-1.json,2.93,1.00,0.02,0.36,-,0.44,6/8,5/8,0.268,tidak,pandangan menempel di tepi layar 36%
b-biasa-2,biasa,2,b,kp-b-biasa-2.json,1.22,1.00,0.01,0.04,0.351,0.67,8/8,7/8,0.315,ya,
b-biasa-3,biasa,3,b,kp-b-biasa-3.json,1.49,1.00,0.05,0.05,0.343,0.82,7/8,7/8,0.398,ya,
b-biasa-4,biasa,1,b,kp-b-biasa-4.json,2.04,1.00,0.03,0.06,-,0.38,8/8,7/8,0.396,ya,
b-produksi-1,produksi,1,b,kp-b-produksi-1.json,2.00,1.00,0.06,0.01,0.948,0.94,0/8,0/8,0.032,ya,
b-produksi-2,produksi,1,b,kp-b-produksi-2.json,1.08,1.00,0.04,0.18,0.925,0.66,0/8,0/8,0.063,ya,
b-produksi-3,produksi,1,b,kp-b-produksi-3.json,2.23,1.00,0.04,0.31,0.945,0.66,0/8,0/8,0.043,tidak,pandangan menempel di tepi layar 31%
b-produksi-4,produksi,1,b,kp-b-produksi-4.json,2.14,1.00,0.05,0.41,0.959,0.62,0/8,0/8,0.026,tidak,pandangan menempel di tepi layar 41%
c-biasa-1,biasa,1,c,kp-c-biasa-1.json,1.07,1.00,0.03,0.01,0.080,0.88,7/8,5/8,0.212,ya,
c-biasa-2,biasa,1,c,kp-c-biasa-2.json,1.09,1.00,0.02,0.00,0.193,0.98,8/8,5/8,0.071,ya,
c-biasa-3,biasa,1,c,kp-c-biasa-3.json,1.59,1.00,0.04,0.01,0.264,0.96,5/8,4/8,0.182,ya,
c-produksi-1,produksi,1,c,kp-c-produksi-1.json,1.39,1.00,0.02,0.62,-,0.02,0/8,0/8,0.037,tidak,pandangan menempel di tepi layar 62%
c-produksi-2,produksi,1,c,kp-c-produksi-2.json,1.98,1.00,0.02,0.00,0.963,0.98,1/8,1/8,0.026,ya,
c-produksi-3,produksi,1,c,kp-c-produksi-3.json,1.17,1.00,0.05,0.00,0.937,0.91,0/8,0/8,0.043,ya,
c-produksi-4,produksi,1,c,kp-c-produksi-4.json,1.56,1.00,0.04,0.01,0.894,0.69,1/8,1/8,0.060,ya,
